,N1_VIS1,N2_VIS2,N3_MOT1,N4_MOT2,N5_DORATT2,N6_DORATT1,N7_VAN1,N8_FP1,N9_LIM1,N10_LIM2,N11_FP2,N12_FP3,N13_FP4,N14_MOT3,N15_DMN1,N16_DMN3,N17_DMN2
P5203,0.13098767399787903,0.19013626873493195,0.29850292205810547,0.13957273960113525,0.25433605909347534,0.12326300144195557,0.12361908704042435,0.18246231973171234,0.17110809683799744,0.3324022889137268,0.25859877467155457,0.21106472611427307,0.22563229501247406,0.1321714073419571,0.18475882709026337,0.22047384083271027,0.15285739302635193
P5205,0.12807707488536835,0.4487486481666565,0.533449649810791,0.23691505193710327,0.35390669107437134,0.21973180770874023,0.18804959952831268,0.22374118864536285,0.16961956024169922,0.36731505393981934,0.24821725487709045,0.3254631459712982,0.2300330400466919,0.137455016374588,0.24345111846923828,0.2925688922405243,0.2651364207267761
P5211,0.15290740132331848,0.2581353187561035,0.23944345116615295,0.14496085047721863,0.2890571057796478,0.22105184197425842,0.15407794713974,0.18506650626659393,0.2320926934480667,0.4254378378391266,0.2268662303686142,0.3962129056453705,0.21140806376934052,0.20070680975914001,0.2000698745250702,0.31087353825569153,0.3243987262248993
P5229,0.15814311802387238,0.20546065270900726,0.18898743391036987,0.23815487325191498,0.34329456090927124,0.2017248272895813,0.21974976360797882,0.22855739295482635,0.1742696315050125,0.4619578421115875,0.18351425230503082,0.47398075461387634,0.2387046068906784,0.28589382767677307,0.20554982125759125,0.38748395442962646,0.360323041677475
P5216,0.13796207308769226,0.35716375708580017,0.45761892199516296,0.24795596301555634,0.3247624337673187,0.16168133914470673,0.15032806992530823,0.3657290041446686,0.20405082404613495,0.3574254512786865,0.1495411992073059,0.39924490451812744,0.27316999435424805,0.25428006052970886,0.21505752205848694,0.26212093234062195,0.3527282178401947
P5220,0.12301386892795563,0.26570314168930054,0.23670238256454468,0.1967225968837738,0.2611088454723358,0.2965351641178131,0.2034340649843216,0.24720808863639832,0.2151821404695511,0.22422708570957184,0.216833233833313,0.26651665568351746,0.24422802031040192,0.2271195650100708,0.22677184641361237,0.355182021856308,0.337282657623291
P5218,0.15321235358715057,0.27492281794548035,0.4413096308708191,0.17424646019935608,0.1812926083803177,0.1407049596309662,0.16448672115802765,0.20751634240150452,0.1652337610721588,0.5399254560470581,0.179184690117836,0.35157835483551025,0.12980614602565765,0.15066857635974884,0.1765357404947281,0.4228229522705078,0.3174666166305542
P5227,0.17531134188175201,0.33741652965545654,0.30166321992874146,0.32545050978660583,0.30845388770103455,0.2917729616165161,0.30936968326568604,0.23329299688339233,0.18780241906642914,0.42104074358940125,0.20905926823616028,0.48119398951530457,0.21524280309677124,0.22955137491226196,0.2218652367591858,0.3750101625919342,0.15621022880077362
P5228,0.13433748483657837,0.19641858339309692,0.3138672411441803,0.22660593688488007,0.26379677653312683,0.26702603697776794,0.3020772933959961,0.22078372538089752,0.17203794419765472,0.38367462158203125,0.19607342779636383,0.4391152560710907,0.1717250794172287,0.16460435092449188,0.1765758991241455,0.29364222288131714,0.3339134752750397
P5210,0.11053652316331863,0.39851298928260803,0.4529811143875122,0.18718670308589935,0.24236926436424255,0.18015441298484802,0.19603070616722107,0.2990988790988922,0.24560075998306274,0.35405561327934265,0.24257910251617432,0.4967838525772095,0.18307802081108093,0.20197784900665283,0.19242790341377258,0.35135236382484436,0.25029680132865906
P5209,0.1379200965166092,0.2548254728317261,0.31574684381484985,0.15914660692214966,0.15911221504211426,0.1464373767375946,0.1262471228837967,0.19948451220989227,0.14010089635849,0.22116972506046295,0.1477602869272232,0.4227953553199768,0.18631544709205627,0.11662792414426804,0.14203931391239166,0.27887818217277527,0.3274620473384857
P5207,0.16835065186023712,0.24678586423397064,0.3544740080833435,0.30381253361701965,0.3479916751384735,0.20932665467262268,0.20892147719860077,0.19591721892356873,0.28452348709106445,0.2649071514606476,0.2244664430618286,0.33542343974113464,0.16735292971134186,0.2859842777252197,0.2504636347293854,0.3318043053150177,0.18789221346378326
P5201,0.2455771267414093,0.2983490824699402,0.46901944279670715,0.30049264430999756,0.3389621078968048,0.36467185616493225,0.33861044049263,0.2732153832912445,0.27775758504867554,0.47935959696769714,0.23417295515537262,0.40235981345176697,0.24829111993312836,0.24847540259361267,0.1655343621969223,0.23905621469020844,0.3549361824989319
P5206,0.16364319622516632,0.28944239020347595,0.48006948828697205,0.18497975170612335,0.333558589220047,0.2611722946166992,0.18885532021522522,0.3026599884033203,0.19996638596057892,0.16297070682048798,0.1850295513868332,0.35684239864349365,0.22968319058418274,0.1513132005929947,0.2807733118534088,0.24285365641117096,0.26274967193603516
P5230,0.13668079674243927,0.2653367221355438,0.41665980219841003,0.2122681587934494,0.31699126958847046,0.263954758644104,0.2524999678134918,0.25889918208122253,0.25334829092025757,0.4468725621700287,0.3253263235092163,0.3461509644985199,0.19003815948963165,0.25920480489730835,0.24385957419872284,0.3573402464389801,0.34920060634613037
P5208,0.09509334713220596,0.28930339217185974,0.5431808233261108,0.1762445569038391,0.2602631151676178,0.27345654368400574,0.15825559198856354,0.26769593358039856,0.17317520081996918,0.22690677642822266,0.11887761950492859,0.5024111270904541,0.14337299764156342,0.23597578704357147,0.2126293033361435,0.2960975766181946,0.3112628161907196
P5215,0.1514626443386078,0.34740084409713745,0.32270196080207825,0.22002215683460236,0.3414493501186371,0.24189798533916473,0.2098158448934555,0.2150903195142746,0.17618776857852936,0.1963573843240738,0.2755090296268463,0.2588600814342499,0.15520316362380981,0.14021626114845276,0.40355899930000305,0.2137739658355713,0.17853395640850067
P5212,0.22039438784122467,0.1430055797100067,0.2750585377216339,0.12866149842739105,0.24260775744915009,0.16456331312656403,0.17008651793003082,0.2500250041484833,0.22224655747413635,0.2958660423755646,0.14609627425670624,0.3428754508495331,0.17513170838356018,0.13741570711135864,0.13471058011054993,0.22249789535999298,0.31519991159439087
P5224,0.14285054802894592,0.3105383515357971,0.5569912195205688,0.11101263761520386,0.15284760296344757,0.2442144900560379,0.23077663779258728,0.20628111064434052,0.14629590511322021,0.3783334195613861,0.10308662056922913,0.3312761187553406,0.13860024511814117,0.24719439446926117,0.1591106355190277,0.23230737447738647,0.2847246825695038
P5225,0.17538726329803467,0.276112824678421,0.35414958000183105,0.18438692390918732,0.36400121450424194,0.1620628982782364,0.18281777203083038,0.24665296077728271,0.16234226524829865,0.3260737657546997,0.19063705205917358,0.31787070631980896,0.23869632184505463,0.20868609845638275,0.2339310348033905,0.2797088325023651,0.31124070286750793
